IDX,LON,LAT,ENTRY_EXIT,EXIT_NUM,INTERCHANGE,FACILITY_TYPE,FACILITY_NAME,STATEID,FAFID
1041,-155.04183251207326,19.71446846164693,,,,,,0,0
1042,-155.0474215108691,19.73072346056778,,,,,,0,0
1043,-155.05405451102695,19.729296461181914,,,,Seaport,HILO,0,0
1044,-155.0117105120883,19.735266460091,,,,,,0,0
1045,-154.83481152018967,19.507946465945462,,,,,,0,0
1047,-166.5469600613756,53.88762881313538,,,,,,0,0
1048,-166.54083006477623,53.89383581318838,,,,,,0,0
1049,-166.54210906451826,53.89393581328981,,,,,,0,0
1050,-166.54213006443462,53.89441381287242,,,,Airport-Terminal Location,UNALASKA,0,0
1051,-166.53769006478606,53.89383381378738,,,,,,0,0
1052,-166.52146707196485,53.90656481429372,,,,Seaport,UNALASKA ISLAND,0,0
1053,-166.53414906493785,53.89108181470429,,,,,,0,0
1054,-150.38547865879707,59.07872569796709,,,,,,0,0
1055,-162.75087101363863,55.24199517883504,,,,,,0,0
1056,-162.78975303303307,55.29701116759199,,,,,,0,0
1057,-162.70014499917556,55.19615919045554,,,,,,0,0
1059,-163.72292271751272,62.087785331457894,,,,,,0,0
1060,-163.29333374922678,62.05727240234695,,,,,,0,0
1061,-166.20017669195028,64.95885662984296,,,,,,0,0
1062,-166.237607807295,65.09153960943003,,,,,,0,0
1063,-166.14796062755238,64.87806364695709,,,,,,0,0
1064,-166.0870625929702,64.82921666235788,,,,,,0,0
1065,-165.9205625194618,64.71824370126436,,,,,,0,0
1066,-165.74610151032851,64.6775607340801,,,,,,0,0
1067,-166.31661193260433,65.24071558032584,,,,,,0,0
1068,-166.31752994255274,65.25179557916424,,,,,,0,0
1069,-166.3625639439147,65.26064157071649,,,,,,0,0
1070,-165.2928154097506,64.48630582836276,,,,,,0,0
1071,-165.05623140983897,64.44654987122829,,,,,,0,0
1072,-165.6667294404687,64.58559675688855,,,,,,0,0
1073,-165.51102944600694,64.5642827843826,,,,,,0,0
1074,-165.40865444124552,64.54151980343802,,,,,,0,0
1075,-165.43961540572207,64.50648880229987,,,,,,0,0
1076,-165.43874640605893,64.50656980231471,,,,,,0,0
1077,-165.43957040551624,64.50672680237571,,,,,,0,0
1078,-165.41998041022916,64.50841180540003,,,,,,0,0
1079,-165.4029614103532,64.50579580808004,,,,,,0,0
1080,-165.38232940347257,64.49392081300819,,,,,,0,0
1081,-165.37656744305187,64.53829780923839,,,,,,0,0
1082,-165.28006049872934,64.5851368198628,,,,,,0,0
1083,-165.2935205504177,64.64580481134527,,,,,,0,0
1084,-165.23778864169455,64.73835781077496,,,,,,0,0
1085,-165.279854498865,64.58522182011333,,,,,,0,0
1086,-165.2175847116912,64.81351980615568,,,,,,0,0
1281,-159.7145763172527,21.97171439931765,,,,,,0,0
1282,-159.6852523185824,22.02254039478272,,,,,,0,0
1283,-159.6928553186857,21.961356399131866,,,,,,0,0
1284,-159.67203831904362,21.957419399479914,,,,,,0,0
1285,-159.6683403188366,22.03426639396536,,,,,,0,0
1286,-159.50820032742118,21.926476400683562,,,,,,0,0
1287,-159.46601232901648,21.95059139849417,,,,,,0,0
1288,-159.46664132937846,21.90366040155208,,,,,,0,0
1289,-159.39573733185063,21.966890396219355,,,,,,0,0
1291,-159.37979933224827,21.972402395558845,,,,,,0,0
1292,-159.77776831399893,22.036366394600233,,,,,,0,0
1293,-159.66951631774805,22.115576388051117,,,,,,0,0
1294,-159.582821320931,22.22043538029706,,,,,,0,0
1295,-159.43901332750667,22.213862379171157,,,,,,0,0
1296,-159.39566833135535,22.065649389457505,,,,,,0,0
1297,-159.37275633201162,22.0543673899291,,,,,,0,0
1298,-159.30650333491792,22.09620938667947,,,,,,0,0
1299,-156.98974343993297,20.78779644166035,,,,,,0,0
1300,-156.95453944041705,20.797681440833895,,,,,,0,0
1301,-156.95050544064935,20.791276441378766,,,,,,0,0
1302,-156.94997444109504,20.790800441730752,,,,Airport-Terminal Location,LANAI,0,0
1303,-156.91846844178613,20.817621439343398,,,,,,0,0
1304,-156.8900714434036,20.741807443135606,,,,,,0,0
1305,-156.9180794416237,20.81796443912834,,,,,,0,0
1306,-156.92354344164443,20.830062438467177,,,,,,0,0
1307,-156.66813744852143,20.86164343329262,,,,,,0,0
1308,-156.55714145301383,20.78852643552689,,,,,,0,0
1309,-156.55634945334356,20.788106435771073,,,,,,0,0
1310,-156.50757145443876,20.811562433995867,,,,,,0,0
1311,-156.50694545444986,20.81673343359503,,,,,,0,0
1312,-156.46188345619373,20.785749434740453,,,,,,0,0
1313,-156.50261145330987,20.864265430930192,,,,,,0,0
1314,-156.46047345423557,20.876282429787953,,,,,,0,0
1316,-156.50155245277762,20.887805430020453,,,,,,0,0
1317,-156.50486445319527,20.89385542985989,,,,,,0,0
1318,-156.47290045412697,20.889334429594275,,,,,,0,0
1319,-156.49780545306513,20.917607428311076,,,,,,0,0
1320,-156.5259534510273,20.958277426474126,,,,,,0,0
1321,-156.5507014496066,20.996855424798444,,,,,,0,0
1322,-156.44361845798443,20.698587438530538,,,,,,0,0
1323,-156.44480945786282,20.70237743832258,,,,,,0,0
1324,-156.43469945832925,20.70577743846664,,,,,,0,0
1325,-156.43033945814832,20.685463438955306,,,,,,0,0
1326,-156.4001404599671,20.66194044000974,,,,,,0,0
1327,-156.04445146949612,20.663724434402376,,,,,,0,0
1328,-156.33323446042536,20.737637434851187,,,,,,0,0
1329,-156.46163345505016,20.849658431630555,,,,,,0,0
1330,-156.4830254537292,20.902198429009715,,,,,,0,0
1331,-156.46742045421277,20.89126842877872,,,,,,0,0
1332,-156.4657794540725,20.891925429487628,,,,,,0,0
1333,-156.45742945450485,20.87850342925356,,,,,,0,0
1334,-156.45288445437598,20.885527429188713,,,,,,0,0
1335,-156.44906545469343,20.883286428912648,,,,,,0,0
1336,-156.45709145439602,20.88815642924234,,,,,,0,0
1337,-156.44634745447763,20.890602429137534,,,,,,0,0
1338,-156.46146345427252,20.89117742873864,,,,,,0,0
