CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
45620,"Thomasville, GA",-84.04429404813838,30.873846749534945,72034,999.095,13.387,false,,true
18460,"Cornelia, GA",-83.541387,34.565656,46031,276.868,2.189,false,122,true
23580,"Gainesville, GA",-83.847644,34.26936,203136,392.988,36.289,true,122,true
47580,"Warner Robins, GA",-83.68691608283473,32.56916835898733,191614,526.3299999999999,4.891,true,356,true
27600,"Jefferson, GA",-83.599045,34.129495,75907,339.658,3.42,false,122,true
20140,"Dublin, GA",-82.88779741703301,32.54594738765125,58759,1110.355,14.709,false,,true
25980,"Hinesville, GA",-81.60828537859344,31.818267089015524,81424,916.861,89.478,true,496,true
47080,"Vidalia, GA",-82.40752584399695,32.182546980639735,35640,605.158,10.528,false,,true
19140,"Dalton, GA",-84.91741983277643,34.79031174223066,142837,634.9390000000001,2.818,true,174,true
48180,"Waycross, GA",-82.33402434777584,31.257273303107183,55967,1239.6979999999999,11.518999999999998,false,,true
16340,"Cedartown, GA",-85.174625,34.010871,42853,310.336,1.804,false,122,true
11140,"Americus, GA",-84.23359395441074,32.085422797997836,34163,649.7860000000001,10.649000000000001,false,,true
45740,"Toccoa, GA",-83.28970100000001,34.558402,26784,178.864,5.033,false,,true
45700,"Tifton, GA",-83.5360758352101,31.499376406037737,50350,546.307,12.462,false,,true
45580,"Thomaston, GA",-84.325253,32.90722,27700,323.467,4.087,false,122,true
27700,"Jesup, GA",-81.91655799999998,31.61057,30144,641.813,6.86,false,496,true
25900,"Hilo-Kailua, HI",-155.42806699999997,19.672735,200629,4028.449,1057.716,false,,false
46520,"Urban Honolulu, HI",-157.917219,21.371521,1016508,600.625,1565.597,true,,false
27980,"Kahului-Wailuku, HI",-156.49223625668884,20.863015548399623,164836,1173.521,1277.635,true,,false
28180,"Kapaa, HI",-159.438951,22.019834,73298,619.884,646.429,false,,false
14260,"Boise City, ID",-116.41513233512174,43.61850899468693,764718,11766.594000000001,66.024,true,147,true
38540,"Pocatello, ID",-112.42509200000002,42.871117,87018,1112.491,35.55,true,,true
13940,"Blackfoot, ID",-112.346259,43.223106,47992,2093.732,26.499,false,292,true
25200,"Hailey, ID",-114.32095099104039,43.4442534403465,30476,4913.335999999999,26.175,false,,true
41760,"Sandpoint, ID",-116.630197,48.236489999999996,47110,1733.22,184.912,false,,true
26820,"Idaho Falls, ID",-112.00883174259096,43.53586235619866,157429,5196.15,48.371,true,292,true
15420,"Burley, ID",-113.731370130281,42.545194309522785,46268,3322.606,20.497,false,,true
34300,"Mountain Home, ID",-115.685056,43.11765799999999,28666,3075.079,26.383,false,147,true
30860,"Logan, UT-ID",-111.84280115422013,41.77940889308304,147348,1827.7450000000001,12.838000000000001,true,,true
39940,"Rexburg, ID",-111.7582122146392,43.8582985534909,66301,2333.227,36.271,false,292,true
46300,"Twin Falls, ID",-114.49228829769861,42.589791122756665,114283,2519.253,11.961,true,,true
17660,"Coeur d'Alene, ID",-116.83740200000001,47.738595,171362,1237.779,71.216,true,518,true
34140,"Moscow, ID",-116.93483600000002,46.742589,39517,1075.867,0.915,false,446,true
30300,"Lewiston, ID-WA",-116.9921704265457,46.3920268456699,64375,1484.395,12.565999999999999,true,,true
14940,"Brigham City, UT-ID",-112.11274066419244,41.63587360809899,62230,6944.548,985.197,false,482,true
36620,"Ontario, OR-ID",-116.9863811951165,43.99505992854258,56957,10294.603,45.510000000000005,false,147,true
27220,"Jackson, WY-ID",-110.8974219547651,43.55849815748977,34961,4445.9400000000005,221.518,false,,true
39500,"Quincy, IL-MO",-91.36894100916345,39.96309200043554,75769,1360.166,21.898999999999997,false,448,true
16020,"Cape Girardeau, MO-IL",-89.63332226707912,37.34279084268384,97517,1431.815,28.36,true,164,true
41180,"St. Louis, MO-IL",-90.36483178099868,38.65427629235355,2820253,7863.665,218.35899999999998,true,476,true
40420,"Rockford, IL",-89.02757411528093,42.30610939452417,338798,793.7909999999999,7.427,true,466,true
36837,"Ottawa, IL",-89.02686226353947,41.35589653762312,148539,2164.3320000000003,29.508,false,176,true
16580,"Champaign-Urbana, IL",-88.25993408591414,40.14116503773425,236072,1920.8890000000001,3.284,true,169,true
45380,"Taylorville, IL",-89.254079,39.525376,34032,709.49,6.265,false,522,true
16660,"Charleston-Mattoon, IL",-88.264625,39.487996,46863,508.272,1.795,false,,true
16980,"Chicago-Naperville-Elgin, IL-IN",-87.86689397393302,41.860665376224155,9449351,6922.945000000001,1901.5559999999998,true,176,true
20820,"Effingham, IL",-88.50565275007123,39.13735243743074,45118,824.713,2.206,false,,true
15900,"Canton, IL",-90.11657499999998,40.524812,33609,865.683,16.96,false,427,true
15460,"Burlington, IA-IL",-91.11525905921931,40.83379763845288,45297,794.922,30.081,false,161,true
19340,"Davenport-Moline-Rock Island, IA-IL",-90.49024976221924,41.494525980446184,384324,2269.893,44.033,true,209,true
16060,"Carbondale, IL",-89.277101,37.750199,52974,583.57,18.653,false,166,true
34500,"Mount Vernon, IL",-88.91159800000001,38.311195,37113,571.234,12.568,false,,true
28100,"Kankakee, IL",-87.85169900000001,41.150459,107502,676.49,4.81,true,176,true
23660,"Galesburg, IL",-90.327754,40.937986,49967,716.385,3.412,false,,true
19940,"Dixon, IL",-89.401894,41.812143,34145,724.787,3.758,false,221,true
38700,"Pontiac, IL",-88.576241,40.90184,35815,1043.628,2.307,false,145,true
30660,"Lincoln, IL",-89.36141099999999,40.141565,27987,618.052,0.873,false,522,true
31380,"Macomb, IL",-90.667814,40.469964999999995,27238,589.323,0.777,false,,true
14010,"Bloomington, IL",-88.953797,40.493799,170954,1183.248,3.013,true,145,true
19500,"Decatur, IL",-88.94655400000002,39.850646,103998,580.576,5.176,true,,true
16460,"Centralia, IL",-89.016141,38.590624,37729,572.538,3.565,false,476,true
37900,"Peoria, IL",-89.55645982707887,40.71321874530482,368782,2467.6510000000003,50.392999999999994,true,427,true
37140,"Paducah, KY-IL",-88.67183864689675,37.06505451375066,103486,1235.511,89.62899999999999,true,424,true
44100,"Springfield, IL",-89.66335920019561,39.78441609975556,208640,1182.647,9.775,true,522,true
27300,"Jacksonville, IL",-90.258941510335,39.70776498608176,37864,819.7379999999999,5.365,false,522,true
40300,"Rochelle, IL",-89.25403000000001,42.028664,51788,758.654,4.78,false,466,true
23300,"Freeport, IL",-89.64363900000001,42.324957,44630,564.247,0.521,false,466,true
19180,"Danville, IL",-87.655499,40.151056,74188,898.319,2.908,false,169,true
44580,"Sterling, IL",-89.82525,41.781958,55691,684.099,12.31,false,221,true
32060,"Marion-Herrin, IL",-88.976636,37.754392,67153,420.21,24.12,false,166,true
19540,"Decatur, IN",-84.934318,40.749532,35809,338.926,1.04,false,258,true
23060,"Fort Wayne, IN",-85.15642184499377,41.08481990283196,447781,1360.955,7.23,true,258,true
18020,"Columbus, IN",-85.90529400000001,39.215015,82208,406.94,2.593,true,294,true
29200,"Lafayette-West Lafayette, IN",-86.89339722131017,40.43540818043859,223716,1642.24,8.936,true,320,true
26900,"Indianapolis-Carmel-Greenwood, IN",-86.11620742486889,39.81819614647269,2089673,4086.558,32.019,true,294,true
